uri,speechiness,valence,mode,liveness,key,danceability,loudness,acousticness,instrumentalness,energy,tempo
spotify:track:6QewNVIDKdSl8Y3ycuHIei,0.0761,0.265,0,0.298,10,0.394,-6.506,0.00178,4.54e-06,0.944,105.338
spotify:track:08mG3Y1vljYA6bvDt4Wqkj,0.047,0.763,1,0.0828,9,0.31,-5.678,0.011,0.00965,0.7,188.386
spotify:track:0c1gHntWjKD7QShC8s99sq,0.0345,0.144,1,0.216,2,0.39,-5.163,0.172,0,0.649,121.16
spotify:track:5A1FmxbYVRZKy4nc16MAue,0.054,0.374,1,0.136,9,0.542,-5.653,0.00172,0.0104,0.905,153.398
spotify:track:1sn6iOK93jnp0Hn5BnNOXy,0.07,0.348,0,0.126,1,0.377,-4.543,0.00092,8.88e-05,0.942,129.955
spotify:track:1L94M3KIu7QluZe63g64rv,0.0422,0.595,0,0.402,11,0.284,-6.069,0.00752,0.000461,0.875,75.009
spotify:track:0bVtevEgtDIeRjCJbK3Lmv,0.0757,0.243,1,0.351,8,0.443,-8.07,0.0231,0.434,0.96,123.378
spotify:track:61Q9oJNd9hJQFhSDh6Qlap,0.0312,0.339,0,0.0823,9,0.324,-7.269,0.00118,0.0779,0.551,116.997
spotify:track:3YBZIN3rekqsKxbJc9FZko,0.0797,0.426,1,0.321,11,0.27,-8.76,0.0175,0.0131,0.953,100.459
spotify:track:2LawezPeJhN4AWuSB0GtAU,0.0277,0.774,1,0.133,0,0.741,-7.028,0.0664,2.28e-05,0.697,116.109
spotify:track:39shmbIHICJ2Wxnk1fPSdz,0.115,0.816,1,0.384,2,0.742,-6.463,0.079,0,0.833,113.375
spotify:track:4CJVkjo5WpmUAKp3R44LNb,0.0255,0.886,1,0.118,7,0.597,-12.013,0.181,0.000331,0.605,97.782
spotify:track:5MxNLUsfh7uzROypsoO5qe,0.029,0.224,1,0.332,1,0.307,-10.057,0.388,9.08e-05,0.433,160.9
spotify:track:6cr6UDpkjEaMQ80OjWqEBQ,0.0288,0.923,1,0.318,5,0.73,-7.325,0.0632,0.0661,0.868,148.217
spotify:track:1AhDOtG9vPSOmsWgNW0BEY,0.0499,0.224,0,0.3,0,0.414,-9.928,0.271,0,0.404,71.105
spotify:track:7o2CTH4ctstm8TNelqjb51,0.0466,0.63,1,0.236,6,0.451,-7.765,0.0801,0.146,0.911,125.122
spotify:track:0eFvoRSTTaR2q8bSWVjwfp,0.112,0.327,0,0.313,10,0.456,-4.869,0.0301,0.499,0.978,123.411
spotify:track:4cCQ0wBIc9YHhvOWvWNj7S,0.0405,0.442,1,0.699,2,0.427,-8.515,0.0145,0.00242,0.665,142.702
spotify:track:2EqlS6tkEnglzr7tkKAAYD,0.0393,0.187,0,0.0926,9,0.533,-11.913,0.0302,0.248,0.376,165.007
spotify:track:4DMKwE2E2iYDKY01C335Uw,0.0319,0.793,1,0.446,7,0.483,-5.735,0.00316,8.86e-05,0.786,126.748
spotify:track:4gMgiXfqyzZLMhsksGmbQV,0.0428,0.719,1,0.247,0,0.694,-15.881,0.0781,0.000677,0.394,104.126
spotify:track:5tVA6TkbaAH9QMITTQRrNv,0.0252,0.623,1,0.0622,5,0.63,-13.243,0.219,0,0.449,84.378
spotify:track:1Ly0ssAgeM7YqdHptao8Oe,0.0722,0.382,0,0.17,4,0.426,-11.501,8.44e-05,0.00239,0.619,162.721
spotify:track:4bHsxqR3GMrXTxEPLuK5ue,0.0363,0.514,1,0.447,4,0.5,-9.072,0.127,0,0.748,118.852
spotify:track:6zeE5tKyr8Nu882DQhhSQI,0.0283,0.387,1,0.11,7,0.475,-10.687,0.367,0.00056,0.322,93.503
spotify:track:2vX5WL7s6UdeQyweZEx7PP,0.0471,0.869,1,0.0522,5,0.629,-10.761,0.0249,9.45e-06,0.785,108.531
spotify:track:32kgOw8wejH7zUhtXCM8DH,0.0299,0.288,1,0.0504,7,0.377,-8.039,0.000894,0.00217,0.682,108.736
spotify:track:6Qg7cgN1oZ5mG5nZe9UG0X,0.0318,0.285,1,0.262,7,0.399,-10.637,0.229,0.00122,0.518,127.084
spotify:track:0PP933bHgvV0eD19dG3ms5,0.0365,0.272,1,0.0913,7,0.384,-5.591,0.151,7.73e-05,0.846,90.172
spotify:track:5CQ30WqJwcep0pYcV4AMNc,0.0339,0.197,0,0.116,9,0.338,-12.049,0.58,0.0032,0.34,82.433
spotify:track:7gXdAqJLCa5aYUeLVxosOz,0.0407,0.368,1,0.0992,6,0.486,-7.248,0.0203,0.00607,0.747,132.29
